Date,EFA,QQQ,SHY,SPY,TIP,TLT,VTI
2003-05-14,18.616958618164062,24.18738555908203,54.280704498291016,62.33048629760742,,43.83665084838867,29.552230834960938
2003-05-15,18.6492977142334,24.45802116394043,54.260986328125,62.72614669799805,,43.97372055053711,29.78577995300293
2003-05-16,18.87926483154297,24.271961212158203,54.3201904296875,62.56787872314453,,44.295108795166016,29.72237777709961
2003-05-19,18.3690185546875,23.41779136657715,54.33328628540039,61.1037483215332,,44.14383316040039,29.025121688842773
2003-05-20,18.552270889282227,23.48545265197754,54.405643463134766,60.97843933105469,,44.79610061645508,28.995088577270508
2003-05-21,18.360034942626953,23.41779136657715,54.33328628540039,61.1037483215332,,44.79134750366211,29.11519432067871
2003-05-22,18.60618019104004,23.756084442138672,54.3530387878418,61.71052169799805,,45.1883659362793,29.308698654174805
2003-05-23,18.71217918395996,23.76453971862793,54.372806549072266,61.83580017089844,,45.30179977416992,29.432144165039062
2003-05-27,18.873878479003906,24.610240936279297,54.3530387878418,62.91741180419922,,44.484169006347656,30.019302368164062
2003-05-28,18.963708877563477,24.68636703491211,54.3859748840332,63.095481872558594,,44.40851974487305,30.052682876586914
2003-05-29,19.053539276123047,24.787839889526367,54.405643463134766,62.93059158325195,,44.79610061645508,30.002634048461914
2003-05-30,19.089475631713867,25.193790435791016,54.3859748840332,63.939666748046875,,44.71103286743164,30.449674606323242
2003-06-02,19.267345428466797,25.016197204589844,54.357643127441406,64.20344543457031,,44.3825569152832,30.576454162597656
2003-06-03,19.314058303833008,25.25298500061035,54.46302795410156,64.4672622680664,,44.738563537597656,30.759939193725586
2003-06-04,19.43083381652832,25.72658348083496,54.50914001464844,65.3971939086914,,44.871429443359375,31.200342178344727
2003-06-05,19.62667465209961,25.912649154663086,54.47616958618164,65.72032928466797,,44.520198822021484,31.370485305786133
2003-06-06,19.745254516601562,25.481338500976562,54.46302795410156,65.46315002441406,,44.68156433105469,31.293760299682617
2003-06-09,19.603322982788086,25.143049240112305,54.53541946411133,64.79701232910156,,44.980587005615234,30.876728057861328
2003-06-10,19.761423110961914,25.52361297607422,54.59475326538086,65.45650482177734,,45.51690673828125,31.160308837890625
2003-06-11,20.086612701416016,25.8111629486084,54.555198669433594,66.14903259277344,,45.45997619628906,31.533973693847656
2003-06-12,20.140520095825195,25.92109489440918,54.58811569213867,66.35346221923828,,45.81596374511719,31.597366333007812
2003-06-13,20.023731231689453,25.337556838989258,54.634254455566406,65.66099548339844,,46.124412536621094,31.287071228027344
2003-06-16,20.316587448120117,26.115617752075195,54.56839370727539,67.04593658447266,,45.68777084350586,31.927631378173828
2003-06-17,20.357912063598633,26.01413345336914,54.48930358886719,67.04593658447266,,45.32708740234375,31.97766876220703
2003-06-18,20.30042266845703,26.14944839477539,54.495933532714844,66.98661804199219,,44.74800109863281,31.91094398498535
2003-06-19,20.05967140197754,25.72658348083496,54.54863357543945,65.96432495117188,,44.66260528564453,31.420551300048828
2003-06-20,20.086612701416016,25.692752838134766,54.53541946411133,65.81871032714844,,44.4964714050293,31.46056365966797
